idmutation;datemut;valeurfonc;libtypbien;sbatapt;code_postal;nbapt1pp;no_voie;type_voie;voie;commune
000001;10/01/2025;345000.00;Maison;100;93000;5;52;RUE;PASTEUR;BOBIGNY
000001;13/01/2025;255287.00;Appartement;58;93100;3;29;RUE;DU SERGENT GODEFROY;MONTREUIL
000001;07/01/2025;90000.00;Appartement;39;93120;2;2;RUE;VILLOT;LA COURNEUVE
000001;06/01/2025;165000.00;Appartement;38;93190;2;82;ALL;J BAPTISTE CLEMENT;LIVRY-GARGAN
000001;13/01/2025;368200.00;Appartement;61;93260;3;7;RUE;DE LA CONVENTION;LES LILAS
000001;03/01/2025;311000.00;Appartement;63;93230;3;18;RUE;DE LA REPUBLIQUE;ROMAINVILLE
000001;03/01/2025;325000.00;Appartement;51;93500;3;10;RUE;LAKANAL;PANTIN
000001;02/01/2025;300000.00;Maison;91;93470;4;8;ALL;DE LA PALOMBIERE;COUBRON
000001;09/01/2025;168220.00;Appartement;39;93300;2;65;RUE;HENRI BARBUSSE;AUBERVILLIERS
000001;17/01/2025;250000.00;Maison;63;93600;3;52;RUE;ROGER LEMAIRE;AULNAY SOUS BOIS
000001;10/01/2025;138000.00;Appartement;34;93250;2;27;RUE;SAINT CHARLES;VILLEMOMBLE
000001;13/01/2025;333000.00;Appartement;47;93100;2;8;RUE;DU SERGENT GODEFROY;MONTREUIL
000001;15/01/2025;492500.00;Appartement;87;93230;4;18;RUE;JOSEPH BARA;ROMAINVILLE
000001;10/01/2025;260000.00;Appartement;55;93700;3;41;RUE;DU CHEVALIER DE LA BARRE;DRANCY
000001;10/01/2025;260000.00;Appartement;55;93700;3;41;RUE;DU CHEVALIER DE LA BARRE;DRANCY
000001;18/01/2025;238000.00;Maison;77;93220;5;20;ALL;GAUGUIN;GAGNY
000001;13/01/2025;165000.00;Appartement;45;93100;3;28;BD;ARISTIDE BRIAND;MONTREUIL
000001;09/01/2025;159000.00;Appartement;34;93300;1;86;RUE;LEOPOLD RECHOSSIERE;AUBERVILLIERS
000001;09/01/2025;360000.00;Maison;96;93320;4;31;ALL;CAMILLE DESMOULINS;LES PAVILLONS-SOUS-BOIS
000001;16/01/2025;165000.00;Appartement;42;93700;2;15;AV;GARIBALDI;DRANCY
000001;17/01/2025;75000.00;Appartement;30;93500;1;82;AV;JEAN JAURES;PANTIN
000001;08/01/2025;595141.00;Appartement;74;93100;4;91;RUE;ETIENNE MARCEL;MONTREUIL
000001;09/01/2025;130000.00;Maison;35;93320;2;2;ALL;SAUTEREAU;LES PAVILLONS-SOUS-BOIS
000001;09/01/2025;70000.00;Appartement;16;93200;1;100;AV;P VAILLANT COUTURIER;SAINT-DENIS
000001;20/01/2025;200000.00;Appartement;42;93210;2;13;RUE;SAINT JUST;SAINT-DENIS
000001;14/01/2025;179000.00;Appartement;61;93800;3;17;RUE;D ORMESSON;EPINAY SUR SEINE
000001;10/01/2025;489000.00;Maison;142;93320;5;12;ALL;DU PARC;LES PAVILLONS-SOUS-BOIS
000001;02/01/2025;75000.00;Appartement;21;93200;2;7;RUE;SAMSON;SAINT-DENIS
000001;15/01/2025;207600.00;Appartement;80;93190;4;7;ALL;DE BOISANDRE;LIVRY-GARGAN
000001;03/01/2025;260480.00;Appartement;56;93300;3;2;RUE;EMMA CHENU;AUBERVILLIERS
000001;07/01/2025;195000.00;Appartement;43;93260;2;138;AV;MAL DE LATTRE DE TASSIGNY;LES LILAS
000001;13/01/2025;335000.00;Maison;72;93290;4;64;;DIXIEME AVENUE;TREMBLAY-EN-FRANCE
000001;02/01/2025;190000.00;Maison;35;93140;2;31;AV;DU QUATORZE JUILLET;BONDY
000001;14/01/2025;195000.00;Appartement;46;93250;2;3;GR;GRANDE RUE;VILLEMOMBLE
000001;10/01/2025;185100.00;Appartement;41;93200;2;26;BD;CARNOT;SAINT-DENIS
000001;10/01/2025;290000.00;Maison;94;93220;4;94;RUE;HIPPOLYTE PINA;GAGNY
000001;15/01/2025;259000.00;Appartement;36;93700;2;19;RUE;THERESE;DRANCY
000001;15/01/2025;259000.00;Appartement;28;93700;2;19;RUE;THERESE;DRANCY
000001;17/01/2025;227000.00;Appartement;82;93800;4;27;RUE;LA BRUYERE;EPINAY SUR SEINE
000001;16/01/2025;308000.00;Appartement;37;93100;2;21;RUE;DE L EGLISE;MONTREUIL
000001;16/01/2025;232000.00;Maison;65;93290;3;50;AV;ALBERT SARRAUT;TREMBLAY-EN-FRANCE
000001;17/01/2025;218000.00;Appartement;67;93130;4;37;RUE;DES BERGERIES;NOISY-LE-SEC
000001;17/01/2025;335000.00;Maison;88;93420;5;11;AV;DU 8 MAI 1945;VILLEPINTE
000001;10/01/2025;116500.00;Appartement;59;93800;3;72;AV;JOFFRE;EPINAY SUR SEINE
000001;20/01/2025;387000.00;Appartement;67;93400;3;30;RUE;DES BATELIERS;SAINT-OUEN-SUR-SEINE
000001;10/01/2025;173000.00;Appartement;43;93250;2;16;BD;D AULNAY;VILLEMOMBLE
000001;10/01/2025;145000.00;Appartement;37;93340;2;57;ALL;JARDIN ANGLAIS;LE RAINCY
000001;02/01/2025;283000.00;Appartement;51;93400;3;17;RUE;ANSELME;SAINT-OUEN-SUR-SEINE
000001;17/01/2025;336500.00;Appartement;60;93100;2;7;RUE;DOMBASLE;MONTREUIL
000001;06/01/2025;150000.00;Appartement;64;93270;3;5;AV;ANDRE TOUTAIN;SEVRAN
000001;20/01/2025;337000.00;Maison;97;93270;5;58;RUE;DE LA MARNE;SEVRAN
000001;17/01/2025;191000.00;Appartement;68;93110;4;108;BD;ALSACE LORRAINE;ROSNY-SOUS-BOIS
000001;17/01/2025;229000.00;Appartement;63;93110;3;327;BD;DE LA BOISSIERE;ROSNY-SOUS-BOIS
000001;20/01/2025;200000.00;Appartement;119;93270;6;21;AV;YOURI GAGARINE;SEVRAN
000001;09/01/2025;337900.00;Appartement;61;93230;3;89;AV;DE VERDUN;ROMAINVILLE
000001;15/01/2025;180000.00;Appartement;59;93700;2;53;RUE;ROGER GIBRAT;DRANCY
000001;11/01/2025;230000.00;Maison;80;93390;4;26;BD;DU TEMPLE;CLICHY SOUS BOIS
000001;20/01/2025;252000.00;Maison;42;93600;3;16;AV;YVONNE;AULNAY SOUS BOIS
000001;20/01/2025;308000.00;Maison;89;93320;3;22;ALL;VOLTAIRE;LES PAVILLONS-SOUS-BOIS
000001;16/01/2025;210000.00;Appartement;65;93140;3;2;RUE;DU SERGENT BOBILLOT;BONDY
000001;20/01/2025;328000.00;Maison;80;93190;4;30;RUE;LEON JOUHAUX;LIVRY-GARGAN
000001;17/01/2025;160000.00;Appartement;55;93700;3;5;ALL;DES BENGALIS;DRANCY
000001;15/01/2025;165000.00;Appartement;60;93200;4;73;RUE;DE STRASBOURG;SAINT-DENIS
000001;13/01/2025;285000.00;Maison;84;93140;4;23;RUE;DE LA SOLIDARITE;BONDY
000001;09/01/2025;400000.00;Maison;104;93100;5;33;RUE;DE L AQUEDUC;MONTREUIL
000001;17/01/2025;207600.00;Appartement;30;93260;2;53;RUE;DE NOISY LE SEC;LES LILAS
000001;13/01/2025;300000.00;Maison;82;93140;5;7;RUE;DE LA FRATERNITE;BONDY
000001;20/01/2025;140000.00;Appartement;37;93140;2;28;AV;MARIE CURIE;BONDY
000001;10/01/2025;108000.00;Appartement;35;93270;2;23;RUE;LUCIEN SPORTISS;SEVRAN
000001;15/01/2025;69900.00;Appartement;23;93210;1;75;AV;DU PDT WILSON;SAINT-DENIS
000001;15/01/2025;69900.00;Appartement;28;93210;2;75;AV;DU PDT WILSON;SAINT-DENIS
000001;16/01/2025;315000.00;Maison;153;93330;8;5;RUE;PASTEUR;NEUILLY-SUR-MARNE
000001;20/01/2025;125000.00;Appartement;51;93150;2;3;RUE;DU DR A CALMETTE;LE BLANC-MESNIL
000001;15/01/2025;119000.00;Appartement;70;93600;4;35;AV;DE SAVIGNY;AULNAY SOUS BOIS
000001;15/01/2025;94000.00;Appartement;25;93220;1;55;AV;JEAN JAURES;GAGNY
000001;17/01/2025;219000.00;Maison;111;93290;5;4;RUE;DE LA COMMUNE DE PARIS;TREMBLAY-EN-FRANCE
000001;17/01/2025;219000.00;Maison;111;93290;5;4;RUE;DE LA COMMUNE DE PARIS;TREMBLAY-EN-FRANCE
